SAHP_index
,max,mean,centroidX,centroidY,Date
0,1020.3578039947900,1018.6867683902300,-3.9385318651422700,-31.995291491771700,1940-01-01
1,1018.4585920264900,1016.7174997311600,-5.863336323887070,-30.727215854264400,1940-02-01
2,1021.3879469111600,1019.7653470682600,-11.184061093044100,-33.580134517380100,1940-03-01
3,1021.4893000321500,1019.8771735300700,-3.159093998248070,-30.13995188599240,1940-04-01
4,1019.8060541674500,1018.6346355762800,-8.530844737826690,-28.238222890483100,1940-05-01
5,1023.6126953340100,1022.0003536273500,-10.551911344050000,-29.427102411183800,1940-06-01
6,1023.9153168462200,1022.3748475400100,-14.584571775194200,-27.090666179661400,1940-07-01
7,1023.5861001033300,1021.9926648845700,-2.348067966800070,-28.38384080382920,1940-08-01
8,1025.716728925710,1024.192553954890,-7.7917319047334000,-31.874121192167600,1940-09-01
9,1022.9293494666900,1021.4139468054300,-4.9353213017262000,-31.07372955304870,1940-10-01
10,1020.4286569296400,1018.7785854245200,-7.8380528356684700,-29.87443589401070,1940-11-01
11,1020.0589507850800,1018.4059052807700,-5.2608541327741300,-27.238378848782800,1940-12-01
12,1020.4976707859900,1018.7966218978700,-3.2404462342500400,-29.501882254689700,1941-01-01
13,1021.8817890379600,1020.3067647236200,-7.453311833416230,-31.883654938304600,1941-02-01
14,1022.8390391469000,1021.3313740148100,-2.9954233714480400,-33.01843273679890,1941-03-01
15,1020.500762520360,1019.06406463162,-9.9749884047657,-28.11746518305480,1941-04-01
16,1020.8767955619800,1019.2914840065500,-4.514558938630220,-28.76286855644910,1941-05-01
17,1022.7040885756700,1021.1724937087400,-7.003637912390740,-27.486226505422200,1941-06-01
18,1022.219496505340,1020.8447517456100,-8.062141974995930,-24.602217812639200,1941-07-01
19,1022.6741778226600,1021.1414566594000,-11.355572688627000,-24.76860011866430,1941-08-01
20,1023.1884160749600,1021.5996128178600,-3.6882240282097300,-27.903624121710300,1941-09-01
21,1022.5959320860000,1020.9238308399200,-7.565115676703450,-28.451085906355800,1941-10-01
22,1022.6719416552200,1021.0732485836600,-5.874176166116510,-29.582966160919300,1941-11-01
23,1020.7298935172100,1019.1196498537900,-1.5438515013899700,-29.687113818296200,1941-12-01
24,1020.446693604810,1018.84447174469,-5.773782311317360,-28.36497912494400,1942-01-01
25,1019.6442532185500,1017.9304427039500,-4.556495136228450,-31.32595470291640,1942-02-01
26,1018.4186170091900,1016.89156666548,-1.1061306332675400,-30.416071229716900,1942-03-01
27,1022.3254400212300,1020.7755976048100,1.1414995190678400,-33.41110261841300,1942-04-01
28,1019.7834921586300,1018.1935422540300,0.811043229911654,-27.09767564613580,1942-05-01
29,1022.5129933552800,1020.8302286575400,-4.200688269720590,-27.947798859118400,1942-06-01
30,1025.0392776094400,1023.6978988386000,-8.089963482742100,-31.651315056812000,1942-07-01
31,1023.1909945672400,1021.5615900014500,-11.300774856567000,-27.269962831705400,1942-08-01
32,1027.4578867275300,1025.73508925529,-25.98247824799180,-32.955700867453400,1942-09-01
33,1022.33500194503,1020.8181632980400,-7.951445754614020,-30.878091462758600,1942-10-01
34,1021.3399448106100,1019.7593303210100,-0.18825046489844900,-31.60654867089930,1942-11-01
35,1022.3043079753400,1020.7477863773400,-7.7766473512566900,-30.563472332379200,1942-12-01
36,1021.6291308030500,1020.0417570473100,-8.10269852805804,-30.201836265901200,1943-01-01
37,1020.7572069671000,1019.2626365946800,-7.435480453872680,-30.657063254249000,1943-02-01
38,1022.6946300463800,1020.9975216486,-19.98629812841290,-36.37681338178820,1943-03-01
39,1021.7284300923300,1019.5445548067300,-13.927355065291600,-32.323262792812900,1943-04-01
40,1021.6403897851700,1020.0763240451600,-15.631120256045500,-27.23908547296030,1943-05-01
41,1024.0649047493900,1022.5110104866800,-7.725768598479620,-28.8107074165802,1943-06-01
42,1027.2438343521200,1025.8179605961400,-14.68854275129490,-29.23793605084820,1943-07-01
43,1028.764922335740,1027.1430513917700,-3.3696822658684600,-31.448424264342700,1943-08-01
44,1028.2441629581200,1026.9122829796300,-17.461844484848400,-31.64065493984680,1943-09-01
45,1024.5816618800200,1022.7282159834900,2.9562879026647300,-34.49577753421270,1943-10-01
46,1025.979590041560,1024.3894143496500,-11.358443076071200,-33.50599624679840,1943-11-01
47,1022.7492512390000,1021.3410577014200,-7.068000382768850,-32.89945491735730,1943-12-01
48,1020.8430142705300,1019.30481844765,-8.526366632778920,-30.189585543333900,1944-01-01
49,1024.4063030742100,1022.7633676137000,5.666094205418090,-36.59691182474470,1944-02-01
50,1024.9763432703900,1023.3781573166000,5.0886507447752400,-37.39918341787790,1944-03-01
51,1020.2277084998800,1018.758618593200,-6.5380457189524600,-32.71888050354450,1944-04-01
52,1022.2318375054700,1020.9554105644400,-9.451645333416130,-34.01899833354070,1944-05-01
53,1024.1899023279500,1022.6187877315500,-8.417195691569550,-30.499709607878000,1944-06-01
54,1025.501220703130,1023.9806521880100,-23.66576024775090,-30.511008913055300,1944-07-01
55,1027.8870954308700,1026.1675077975500,-11.229105781882300,-31.844256522114400,1944-08-01
56,1026.0741845350700,1024.6047855509600,-14.980647481067700,-30.360491604586400,1944-09-01
57,1019.5729094166300,1018.2586834185900,-10.33146420537830,-28.184784727228200,1944-10-01
58,1019.4176940540800,1017.9750366936000,-2.8466004493052400,-28.9535607069288,1944-11-01
59,1018.8841541758700,1017.2939494287800,-2.5691772692838400,-30.632917485194700,1944-12-01
60,1023.3100874591600,1021.8245422266900,-3.2958618441705700,-33.90192375977330,1945-01-01
